BM64SPKS1MC1

Pin,      Type,       Name,       Side
1,        io,         DR0,        left
2,        io,         RFS0,       left
3,        io,         SCLK0,      left
4,        io,         DT0,        left
5,        output,     AOHPR,      left
6,        output,     AOHPM,      left
7,        output,     AOHPL,      left
8,        input,      MIC_N1,     left
9,        input,      MIC_P1,     left
10,       power,      MIC_BIAS,   left
11,       input,      AIR,        left
12,       input,      AIL,        left
13,       input,      RST_N,      left
14,       power,      GND,        left
15,       io,         P1_2,       left
16,       io,         P1_3,       left
17,       io,         P0_4,       left
18,       io,         P1_5,       bottom
19,       input,      HCI_RXD,    bottom
20,       output,     HCI_TXD,    bottom
21,       power,      VDD_IO,     bottom
22,       power,      BAT_IN,     bottom
23,       power,      ADAP_IN,    bottom
24,       power,      SYS_PWR,    bottom
25,       input,      AMB_DET,    bottom
26,       input,      MFB,        bottom
27,       output,     LED2,       right
28,       output,     LED1,       right
29,       io,         P3_7,       right
30,       io,         P3_5,       right
31,       io,         P0_0,       right
32,       input,      EAN,        right
33,       io,         DM,         right
34,       io,         DP,         right
35,       io,         P0_5,       right
36,       io,         P3_0,       right
37,       io,         P3_1,       right
38,       io,         P3_3,       right
39,       io,         P3_6,       right
40,       io,         P0_2,       right
41,       io,         P2_0,       right
42,       io,         P2_7,       right
43,       power,      GND,        right


